TABLE_NAME,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,COLUMN_KEY,EXTRA
purchased_order,order_id,int,NO,PRI,auto_increment
purchased_order,item_key,int,YES,,
purchased_order,item_id,varchar(100),YES,,
purchased_order,item_description,text,YES,,
student,id,int,YES,,
student,name,varchar(100),YES,,
student,email,varchar(100),YES,,
students,id,int,YES,,
students,name,varchar(100),YES,,
students,email,varchar(100),YES,,
students,eml,varchar(100),YES,,
students,el,varchar(100),YES,,
YFS_ACTIVITY,ACTIVITY_CODE,varchar(40),YES,,
YFS_ASSET,ASSET_KEY,char(24),YES,,
YFS_ASSET,ASSET_ID,varchar(40),YES,,
YFS_ASSET,PARENT_TABLE,varchar(40),YES,,
YFS_ASSET,PARENT_KEY,char(24),YES,,
YFS_ASSET,TYPE,varchar(100),YES,,
YFS_ASSET,LABEL,varchar(200),YES,,
YFS_ASSET,DESCRIPTION,varchar(500),YES,,
YFS_ASSET,CONTENT_SIZE,varchar(200),YES,,
YFS_ASSET,CONTENT_LOCATION,varchar(255),YES,,
YFS_ASSET,CONTENT_ID,char(24),YES,,
YFS_ASSET,LOCKID,int,YES,,
YFS_ASSET,CREATETS,datetime,YES,,
YFS_ASSET,MODIFYTS,datetime,YES,,
YFS_ASSET,CREATEUSERID,varchar(40),YES,,
YFS_ASSET,MODIFYUSERID,varchar(40),YES,,
YFS_ASSET,CREATEPROGID,varchar(40),YES,,
YFS_ASSET,MODIFYPROGID,varchar(40),YES,,
YFS_ASSET_LOCALE,ASSET_LOCALE_KEY,char(24),YES,,
YFS_ASSET_LOCALE,ASSET_KEY,char(24),YES,,
YFS_ASSET_LOCALE,COUNTRY,varchar(40),YES,,
YFS_ASSET_LOCALE,LANGUAGE,varchar(10),YES,,
YFS_ASSET_LOCALE,VARIANT,varchar(20),YES,,
YFS_ASSET_LOCALE,LABEL,varchar(200),YES,,
YFS_ASSET_LOCALE,DESCRIPTION,varchar(500),YES,,
YFS_ASSET_LOCALE,CONTENT_LOCATION,varchar(255),YES,,
YFS_ASSET_LOCALE,CONTENT_ID,char(24),YES,,
YFS_ASSET_LOCALE,LOCKID,int,YES,,
YFS_ASSET_LOCALE,CREATETS,datetime,YES,,
YFS_ASSET_LOCALE,MODIFYTS,datetime,YES,,
YFS_ASSET_LOCALE,CREATEUSERID,varchar(40),YES,,
YFS_ASSET_LOCALE,MODIFYUSERID,varchar(40),YES,,
YFS_ASSET_LOCALE,CREATEPROGID,varchar(40),YES,,
YFS_ASSET_LOCALE,MODIFYPROGID,varchar(40),YES,,
YFS_ASSOCIATION,ASSOCIATION_KEY,char(24),YES,,
YFS_ASSOCIATION,PARENT_TABLE,varchar(40),YES,,
YFS_ASSOCIATION,PARENT_KEY,char(24),YES,,
YFS_ASSOCIATION,ASSOCIATION_TYPE,varchar(20),YES,,
YFS_ASSOCIATION,ASSOCIATION_GROUP,varchar(40),YES,,
YFS_ASSOCIATION,EFFECTIVE_FROM,date,YES,,
YFS_ASSOCIATION,EFFECTIVE_TO,date,YES,,
YFS_ASSOCIATION,ASSOCIATED_TABLE,varchar(20),YES,,
YFS_ASSOCIATION,ASSOCIATED_KEY,char(24),YES,,
YFS_ASSOCIATION,ASSOCIATED_QUANTITY,"decimal(14,4)",YES,,
YFS_ASSOCIATION,PRIORITY,"decimal(10,2)",YES,,
YFS_ASSOCIATION,LOCKID,int,YES,,
YFS_ASSOCIATION,CREATETS,datetime,YES,,
YFS_ASSOCIATION,MODIFYTS,datetime,YES,,
YFS_ASSOCIATION,CREATEUSERID,varchar(40),YES,,
YFS_ASSOCIATION,MODIFYUSERID,varchar(40),YES,,
YFS_ASSOCIATION,CREATEPROGID,varchar(40),YES,,
YFS_ASSOCIATION,MODIFYPROGID,varchar(40),YES,,
YFS_ATP_RULES,ATP_RULE,char(24),YES,,
YFS_ATP_RULES,ORGANIZATION_CODE,char(24),YES,,
YFS_CALENDAR,CALENDAR_KEY,char(24),YES,,
YFS_CATEGORY,CATEGORY_KEY,char(24),YES,,
YFS_DISTRIBUTION_RULE,DISTRIBUTION_RULE_ID,char(24),YES,,
YFS_ENTERPRISE,PRIMARY_ENTERPRISE_KEY,char(24),YES,,
YFS_INVENTORY_MONITOR_RULES,INVENTORY_MONITOR_RULE,char(24),YES,,
YFS_INVENTORY_MONITOR_RULES,ORGANIZATION_CODE,char(24),YES,,
YFS_ITEM,ITEM_KEY,char(24),YES,,
YFS_ITEM_ALIAS,ITEM_ALIAS_KEY,char(24),YES,,
YFS_ITEM_ALIAS,ITEM_KEY,char(24),YES,,
